Arrays' count,Comp,Comp,Comp,Comp,Comp,Comp
,Number,Number,Number,Number,Number,Number
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,542,3049,9900,1333,900
200,1274,10892,39800,2853,1800
300,2075,22619,89700,4469,2700
400,2969,42552,159600,6546,3600
500,3876,65079,249500,8290,4500
1000,8710,254113,999000,18968,9000
1500,13990,554649,2248500,30260,13500
2000,19397,1018564,3998000,42341,18000
3000,30985,2262675,8997000,66508,27000
4000,42884,4028064,15996000,91507,36000
5000,55276,6304746,24995000,117417,45000
