Arrays' count,Perm,Perm,Perm,Perm,Perm,Perm
,Number,Number,Number,Number,Number,Number
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,336,2648,2648,160,0
200,772,9921,9921,389,0
300,1244,21052,21052,614,0
400,1744,40283,40283,887,0
500,2244,62113,62113,1095,0
1000,4988,247348,247348,2592,0
1500,7976,543886,543886,4052,0
2000,10976,1003548,1003548,5676,0
3000,17452,2238659,2238659,8979,0
4000,23952,3995049,3995049,12707,0
5000,30904,6262728,6262728,16146,0
