Arrays' count,Time,Time,Time,Time,Time,Time
,ms,ms,ms,ms,ms,ms
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,1.0001659393310547,12.000560760498047,17.000913619995117,2.000093460083008,2.0003318786621094
200,4.000186920166016,38.00225257873535,67.00372695922852,4.000425338745117,5.000114440917969
300,7.000207901000977,81.00485801696777,149.00851249694824,7.000446319580078,5.000114440917969
400,10.00070571899414,154.0088653564453,272.0153331756592,10.00070571899414,7.000207901000977
500,10.00070571899414,238.01350593566895,429.02445793151855,12.000799179077148,9.000539779663086
1000,26.001453399658203,938.0538463592529,1714.0977382659912,29.001712799072266,16.001224517822266
1500,38.00201416015625,2071.1185932159424,3836.219549179077,45.00246047973633,23.00119400024414
2000,54.003238677978516,3816.218137741089,6889.394283294678,62.003374099731445,31.001806259155273
3000,86.00497245788574,8478.485107421875,15592.891931533813,100.0056266784668,46.00262641906738
4000,117.00654029846191,15232.871532440186,28231.614589691162,139.0080451965332,62.00361251831055
5000,152.0087718963623,23922.36828804016,43517.488956451416,175.01020431518555,76.0042667388916
