Arrays' count,Comp,Comp,Comp,Comp,Comp,Comp
,Number,Number,Number,Number,Number,Number
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,356,405,9900,771,900
200,812,973,39800,1743,1800
300,1308,1573,89700,2787,2700
400,1824,2272,159600,3887,3600
500,2272,2972,249500,4987,4500
1000,5044,6771,999000,10975,9000
1500,8288,10771,2248500,17451,13500
2000,11088,15021,3998000,23951,18000
3000,18076,24021,8997000,37903,27000
4000,24176,33021,15996000,51903,36000
5000,32004,42021,24995000,66807,45000
