Arrays' count,Comp,Comp,Comp,Comp,Comp,Comp
,Number,Number,Number,Number,Number,Number
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,543,972,9900,1228,900
200,1283,2408,39800,2795,1800
300,2102,3991,89700,4394,2700
400,2968,5800,159600,6288,3600
500,3866,7035,249500,8850,4500
1000,8677,16192,999000,19761,9000
1500,13981,27233,2248500,30792,13500
2000,19385,39547,3998000,43276,18000
3000,30928,60838,8997000,72550,27000
5000,55259,117817,24995000,112673,45000
