Arrays' count,Time,Time,Time,Time,Time,Time
,ms,ms,ms,ms,ms,ms
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,1.0001659393310547,3.000020980834961,16.000986099243164,2.000093460083008,2.000093460083008
200,4.000186920166016,6.000280380249023,67.00396537780762,3.999948501586914,3.0002593994140625
300,6.000518798828125,9.000778198242188,154.0086269378662,6.000518798828125,6.000041961669922
400,9.000778198242188,14.000892639160156,268.01514625549316,9.000778198242188,7.000207901000977
500,11.000633239746094,18.00084114074707,420.02415657043457,13.000726699829102,8.000373840332031
1000,25.00152587890625,40.00234603881836,1705.0974369049072,29.001712799072266,16.000986099243164
1500,39.002418518066406,68.00389289855957,3860.2206707000732,45.00269889831543,23.001432418823242
2000,55.00316619873047,104.00581359863281,6879.393577575684,64.00346755981445,31.001806259155273
3000,86.00497245788574,153.00893783569336,15528.88822555542,107.00607299804688,45.00246047973633
5000,149.00851249694824,307.01756477355957,42901.453733444214,169.00968551635742,75.00433921813965
